,User Question,Master Question
205,do immunizations show up in burnaby health unit canada way,"I applied for citizenship in the US & am required to provide proof of immunization. I was immunized at the Burnaby health unit at Canada Way, would they have a copy of my record?
"
206,where is immunization record dated,"I am being hired by Interior Health and I require records of my school age immunizations. I am from Burnaby originally and was born in 1964. I know I had all required immunizations. Where can I find copies? I have lived in Kelowna for 10 years.
"
207,is surrey delta bordered by borderland,"TB tests are conducted where (specifically) I am right on the scott road surrey delta border. So either might be closest.
"
208,vaccine vaccines contain formaldehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdehdeh,"Do vaccines contain formaldehyde
"
209,what days an times salmo draw blood,"what days an times does salmo draw blood ? and why is it not posted ?
"
210,when do mmr shots need to be renewed,"Hi - I am a 55 year old female who will be travelling to Vietnam in 2 months. I would have received MMR vaccination as a child, probably pre-1970. Do I need to have another MMR?
"
211,hep a vaccination prescription,"Do i need a prescription for Hep A vaccination?
"
212,pneumonia vaccine available all year round in ba vaccine available all year round? vaccine vaccine available all year round in bc?,"Is the Pneumonia vaccine available all year round in BC?
"
213,what vaccine do doctors need to see for measles vaccine,"I am an adult born in India in 1971. I don't have any vaccine record. Do I need to book an appointment for measles vaccine?
"
214,is diphtheria in grade 9 vaccine,"Hi, My daughter (grade 9ï¼‰has had 4 combined vaccines of Diphtheria, pertussisand Tetanus .The last shot was in her 7 years old.(before coming to Canadaï¼‰.Does she need get further vaccine of Diphtheria, pertussisand Tetanu? She got a form of 'consent for Grade 9 immunization' from school.
"
215,do mmr vaccine have measles,"Do children under the age of 4 who have received the first dose of the MMR vaccine have immunity to measles? Do we still need to be careful to limit exposure in public areas?
"
216,can i get reimbursed for vaccine i had to pay for even though i was eligible to get it for free,"Can I get reimbursed for a vaccine I had to pay for even though I was eligible to get it for free?
"
217,benefits and limitations of vaccine,"hello, I am doing a project on the vaccine for Diphtheria (DTAP) and I was wondering if you could help me find some of its benefits and drawbacks. Thank you
"
218,who has called at a busy time all day? a busy time,"Been trying to book a vax appt for days. I have terrible cell reception so I miss the call back. When will I be able to call and book an appointment? ""you have called at a busy time"" all day every day. -Frustrated parent trying to get their daughter immunized at Burnaby health unit on Canada Way
"
219,do pediatric children's hospitals clinic offer reimmunization post stem cell transplant?,"Does the BC Children's Hospital Clinic offer Reimmunization Post Stem Cell Transplant?
"
220,why do 2month old babies need tetanus,"Why does a 2 month old baby need tetanus and hep B in the preliminary immunization shot? My grand daughter asked me and I don't know the answer.
"
221,what vaccines need prescription for twinrix twinrix,"Do I need a prescription for Twinrix (Hep A and B) vaccine?
"
222,when should the vaccinations be available for ppv23,"as a 74 year old, immunocompromised senior, should I have the PPSV23 vaccine? I had Prevnar 13 in 2016
"
223,how soon can i go back and get the vaccine after shinglesgrix vaccine,"I am 65 and last week I received the first dose of the Shingrix vaccine. I would also like to get the Prevnar 13 vaccine. Could you please tell me if I can go ahead now and have the Prevnar 13 vaccine or do you advise a waiting period? Thank you, 
"
224,can a baby develop measles rash when getting the mri vaccine,"if a baby develops the measles rash after getting the first MMR vaccine is it contagious?
"
225,pneumonia vaccine pneumonia pneumonia vaccine pneumonia vaccine? thank you thank you thank you thank thank you thank you thank thank you thank you thank thank you thank the vaccine? pneumonia vaccine,"Should nurses be getting the Pneumonia vaccine ? thank you
"
226,when should my son get the meningitis c vaccine,"My son had one Meningococcal C Conjugate vaccine last July in Vancouver. He is 3 years old. Since he came from Japan in 2016, it was first time for him to get it. I'm wondering if he should get second vaccination this year.
"
227,does 13 year old need hpv vaccine,"Does my 13 year old son need a prescription to receive the HPV vaccine at my pharmacy? He did not receive the vaccine in grade 6.
"
228,cost of meningitis vaccine,"How much does the pneumonia vaccine cost, please? How much does the meningitis vaccine cost? Thanks.
"
229,flu clinic for my 4 month old,"Hello, wondering when the Richmond flu clinic will be this year for my 4 and 7 y/o. Thank you!
"
230,cost of shingles vaccine,"I am interested in getting the Shingles vaccine. Is this a vaccine that you do, or can you advise on where I should go (GP?). I understand that there is a cost for it.
"
231,how long before getting the shingles vaccine,"I currently have shingles. I understand that it is recommended to wait 1 yr before getting the Shingrix vaccine. Do I need to wait before getting the Prevnar/pneumococcal vaccine?
"
232,what years before the measles vaccine was vaccinated,"I was born in 1962, I didn't have the measles as a child. I'm a care giver for my son who is immune suppressed and daycare my grandchild. I am wondering if I should get vaccinated
"
233,can newborns take vaccines,"We are newcomers. We did not take any vaccines, except BCG.Now to go to day care, they are asking for health passport and immunize records. can we take vaccines now? she is 3 yrs.
"
234,chicken pox vaccine preganacy,"Chicken pox vaccine and preganacy How long after receiving the second dose for the chicken pox vaccine can a woman attempt preganacy?
"
235,can tbe vaccination before travel,"My husband and I are traveling to Switzerland in September. We would like to get vaccinated for TBE before we leave. How and where can we receive it prior to travel?
"
236,when a child needs chickenpox will he need vaccine for 12 months,"If a child of 9 months had chickenpox does he require vaccine at 12 months?
"
237,do grades 6 and 7 need booster shots,"my 11 year old daughter received immunizations forms for grade 6, she was vaccinated for hep b nov 3 2003, jan 19 2004, and nov 23 2004. does she need a booster shot for grade 6?
"
238,contact nurse nurse nurse mcdonald,"Hello, Could you please provide me with the contact information for your facilities Maternity Care Team / Nurse? Please send response to email.
"
239,i need to reschedule mmr2,"My girl is currently having pneumonia which is having antibiotics right now for third day. Originally booked Mmr2 to be done this week, do I need to reschedule?
"
240,h1 flu shot flu shot,"Over two weeks in ICU, my 27 year old daughter is just recovering from H1N1. She did not get the flu shot. Should she still get it once she is better?
"
241,is it dangerous to be around unvaccinated children,"I am 4 months pregnant. Is it dangerous/risky to be around unvaccinated children?
"
242,vaccination vaccination vaccine vaccination vaccination vaccine vaccinations vaccines vaccination vaccinations vaccine vaccines vaccine vaccines vaccination vaccine vaccine vaccination vaccine vaccine vaccinations vaccination vaccination vaccination vaccination vaccination vaccines vaccination vaccination vaccination vaccinations vaccination vaccination vaccination vaccination vaccination vaccine vaccination vaccine vaccine vaccines vaccination vaccination vaccination vaccination vaccine vaccination vaccination vaccine vaccine vaccine vaccine vaccines vaccination vaccination vaccination vaccination vaccinations vaccination vaccine vaccine vaccine vaccine vaccination vaccination vaccination vaccination vaccination vaccination vaccine vaccine vaccine vaccination vaccine vaccination vaccination vaccination vaccine vaccine vaccine,"why we need to take vaccinations?
"
243,can someone be allergic to tetanus if allergic to eggs,"Is it safe , giving Tetanus Toxoid to someone who is allergic to eggs or peanuts?
"
244,what immunizations does a child have for her infant,"Where can I get a copy of the immunizations my child has received, as I don't have all of them documented in her book?
"
245,do you need a family doctor referral to get children immunized,"I don't have a family doctor, do I need a family doctor's referral to get my child immunized or I can just make an appointment with the public health unit?
"
246,can i take last shot 2 weeks late,"took the 1st dose & 2nd dose of Twinex were on time schedule, but got sick during the time of the 3rd dose, so can i take the last shot 2 weeks late?
"
247,what is the phone number to.. immunization appointments for a adult in langley? Booster shot for tetanus and diptheria. Thank you?,"What is the phone number to book an immunization appointment for an adult in Langley? Booster shot for tetanus and diptheria. Thank you?
"
248,what is the hpv vaccine,"Is the HPV vaccine 2 or 3 doses of teenagers?
"
249,how long does fever last in vaccine,"If swelling and redness last longer than a couple days after a vaccine does this indicate a serious problem? How long is too long?
"
250,hpv vaccine free for heterosexual active males under 26,"Is the HPV vaccine free for heterosexual active males under 26 who are questioning their sexual orientation?
"
251,what vaccine did i need for measles vaccine,"I was born 1957 in  bc. Attended school kindergarten thru grade 7. I had many immunizations. Do you know if measles vaccine might have been one of them?
"
252,what vaccination is recommended for booster,"I am female 23y/o. Unfortunately I've lost my vaccination record, and can't remember what I have got, so I want to get vaccinated again. What vaccine is recommended for retake?
"
253,should sister vaccinate newborn baby,"My sister-in-law decided not to vaccinate their newborn baby, I work in critical care health and worry that I could make the child sick. What should I do?
"
254,can i take diptheria vaccine,"Can I get hepatitis B vaccine ,MMR and Diptheria vaccines for free? I am a nursing student and we need it for clinical practice. Thanks
"
255,can hepatitis b come from boyfriend,"Once I have the Hepatitis b vaccine injections would I be free from getting Hepatitis b from my girlfriend who is a carrier of Hepatitis b when we have intercourse or kiss?
"
256,can i check if a child is vaccination up to date,"Hello, I am wondering if you might have access to my daughter's immunization history? I know that she is up to date, however, her health passport was not filled out each time.
"
257,flu vaccine vaccine flu vaccine vaccine fluvac vaccine vaccine vaccine vaccine,"Can you get Fluzone or Fluad with the fluviral vaccine ?
"
258,is hep b surface antibody hep b,my 20 year old daughter has recently had a hep b surface antibody titre done for school. It was 
259,vaccinations recommended vaccinations,"We are travelling to China (urban cities ) next year and would like to know what vaccinations are recommended. We are all adults
"
260,can you get pneumococcal vaccine if never had pneumococcal vaccine?,"1. I am 68 years old, in good health and have never had any pneumococcal vaccine. Should I get PNEU-C-13 or PNEU-P-23 or should I get both?
"
261,flu shot flu shot,"My child is just over one. Is it safe for him to get the flu shot?
"
262,are vegetarians allowed to be vegetarian,"My 14 year old son is now vegetarian and will not accept or use products where animals have been harmed or killed . He is due for MENC4 and TDP. Are these vegetarian/vegan?
"
263,is it normal to have a reaction to vaccines,"My daughter had her first set of gr. 6 vaccines last week. She spent the next day achy and vomiting. Is this a normal reaction?
"
264,has the hpv vaccine ever been used,"Is there a way to know if I have ever received the HPV vaccine?
"
265,can chicken pox develop,"can a child who has been immunized for chicken pox, still develop it? and, if so, would it present the same way or would it potentially be a variation of the typical presentation?
"
266,what type of vaccine does hep b vaccine come in,"I'd like to kindly ask for information regarding being administered the Hep B Vaccine. I am a student (health care profession). Been waiting for about 4 months now. Thank you.
"
267,can a child go to the clinic 24 hours late,"We are traveling on the day she is supposed to get 12 month immunized. Should we go in 1 day early or 7 days late?
"
268,are there masles boosters for rubella?,"I was separately vaccinated for Measles, Mumps and Rubella in 1973/74. I also have BC immunization records for Mumps and Rubella boosters in '81 and '83 respectively. Would either of these boosters have contained the Measles booster?
"
269,when do newborn immunizations start,"Do baby's immunizations start at 8 weeks of age or 2 calendar months of age? thanks
"
270,flu shot pharmacy,"where can I get a flu shot if all the pharmacies in my town and my doctor's office are out of stock?
"
271,pregnant pregnant pregnant pregnant shots can pregnancy if pregnant pregnant,"Should I get the MMR vaccine if I'm trying to get pregnant?
"
272,do vaccines protect against measles,"I was born in 1972 and received only 1 dose of measles vaccine. I had a reaction to the vaccine - a mild form of the measles- high fever and measles rash. Does this mean I'm immune?
"
273,what is fluzone fluzone vaccine,"I require the most effective flu vaccine available. I get inoculated with high dose Fluzone. I understand there is a product called FLUAD with adjuvant MF59. Difference? Is it available in Kelowna? Can I get both? I am willing to pay. I have had cancer treatment and I now have a weak immune system
"
274,should mmr shot be mri second,"My son attended Grade 5 and 6 in Kamloops. This is about the time he should have received a second MMR shot. Is there a record? 
"
275,can flu shot be given for egg allergy,"Can I get a flu shot if I am allergic to eggs?
"
276,do i need an mmr booster booster a year i had measles?,"I got the single-dose MMR as a child. My doctor won't do a blood test to see if I have full immunity. I was born in 1968 but did NOT have measles as a child. I want an MMR booster but no clinic or pharmacy will do one due to my age. How do I get the MMR booster?
"
277,ico immunization records,"How can I download an electronic copy of my child's immunization record?
"
278,double dose vaccination od vaccine double dose vaccine available in vaccine vaccine for double dose vaccine for double dose vaccine poli vaccine available for seniors vaccine? vaccine double dose vaccine available,"Is the double dose vaccine available for seniors
"
279,what level of protection after gardasil 9 shot,"Following a 3-dose vaccination regimen, what level of protection do I have after my 2nd Gardasil 9 shot? Am I at risk of getting HPV before the 3rd shot?
"
280,when is the high dose influenza vaccine available,"High dose Influenza vaccine is not available in my area until sometime in November. If I choose to get the regular Influenza vaccine now, is it wise to get the high dose one later?
"
281,can i get hep p vaccine bc,"I am a new commer who has immigrated to B.C .I am a kidney transplant patient .I need to get a hepatitis vaccine.how can I do it?
"
282,where is a flu vaccine clinic in lake country,"Are there public health flu vaccine clinics in the Kelowna/Vernon area? There is usually one in Lake Country but I am unable to find any.
"
283,do vaccinations adjust for smaller babies?,"My infant is small. Are vaccines adjusted for smaller babies? Is there increased risk with a full dose in smaller babies?
"
284,can i pay for appointments online for shh update,"Am I allowed to book appointments online for a sexual health update
"
285,how old am i 67,"can I get tetanus booster at the Kelowna clinic - I am 67
"
286,what date flu vaccination vaccine available vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine available? flu vaccine vaccine vaccine available? flu vaccine vaccine vaccine vaccine vaccine vaccine vaccine vaccine available,"On what date in 2019 is the flu vaccine available?
"
287,is typhoid necessary for cayo coco,"Is typhoid necessary for cayo coco? Been there before did not have
"
288,is shinglesgrex a live vaccine,"Is Shingrex a live vaccine,and what are the side effects of that vaccine?
"
289,where are vaccines purchased vaccines purchased vaccines purchased from vaccinations bought from,"Where are vaccines purchased from?
"
290,vaccinations for ptussis,"I am pregnant and have been told to get a pertussis vaccine. Can I go somewhere to get this or do I need a prescription from a Dr?
"
291,vaccination vaccinations vaccine vaccine vaccinated,"how often per year should I get vaccinated?
"
292,what is the best place in burnaby for immunization,"Where do i go to get my baby's immunization?i live in burnaby.i already made an appointment.
"
293,what immunizations do I need do I need in Uganda,"What immunizations do I need for Uganda
"
294,how old do you need to be to get vaccines,"Hello My son was born in the U.K and we just moved to Canada. He is due for his second MMR and other vaccines in November but in B.C it said you need to be 4 years old. Do I wait
"
295,can babies get immunized early,"Can my baby get immunized a few days early than the recommendation date?
"
296,how do i explain to my child it was worth it vaccine,"If my child is one of the 0.4 to 1.8 reports per 1,000,000 doses of vaccine distributed in Canada who get anaphylaxis, how do I explain to his mother it was worth it?
"
297,do I need hep a vaccine? does i don't have insurance and am in usa,"I have an work permit and I just had an interview they require getting hep A vaccine but I don't have insurance since I'm from the states
"
298,vaccinations at public health office,"Can I get my son's 4 momth vaccinations at the public health office if the first set were done at my doctors office?
"
299,when is immunization for child,"child of 14, no immunization, where to begin?
"
300,where can i get flu shots at,"My girls are 5, can I get a flu shot at a pharmacy?
"
301,flu vaccine vaccination cover flu vaccination vaccine vaccine cover,"which flu strains does the 2019-2020 flu vaccine cover?
"
302,when can the general public attend a clinic,"When can the general public attend a clinic. All seem to be children and families only.
"
303,is vaccine injected aluminum,"I have a mother of an infant who is concerned regarding amount of aluminum in vaccines. She has read information on same but wonders if any examples of injected aluminum?
"
304,chemotherapy affect immunity immunity,"Does receiving chemotherapy possibly effect my immunity to any previous immunizations?
"
305,do i have to pay for vaccines,"hello, I have just started working in a childcare center I need to get my vaccinations updated. I was born in 1970 do I have to pay for these? specifically the Diptheria/tetanus/pertussis , Hepatitus & MMR
"
306,do i need to go to a health unit guildford,"Do i have to go to a health unit in my area. I live in Langley but would like to go to Guildford.
"
307,bat test result after shot shot,"My cat caught a bat and brought it into the house. I walked barefoot on the floor where the bat was. Saliva & blood on the floor? Should I get the shot or wait for bat test result
"
308,number of callers calling clinics,"Looking for a way to book online for family flu shots as your call service has a hold of over 208 callers everytime I call. Or can I go into my clinic to get quicker service?
"
309,where are the records of school based immunizations found,"Hi I am wondering where the records of school based immunizations are found Also The hep b vaccine was universally given to newborns in what year?
"
310,when can i still get immunizations,"I am 21 years old and i have never been immunized when I was a child. Is it too late for me to get immunization? Can i still get those vaccines that were suppose to be given to me as a child?
"
311,what year old can a suppressed immune system be effected by chicken pox vaccine,"Can someone with suppressed immune system be effected by 1 year olds chicken pox vaccination
"
312,where was born chicken pox born,"Was born in Armstrong B.C. And lived there and also lived in Canoe B.C. I am looking to see if I have had chicken pox or my immunization record?
"
313,flu shots will be flu shots flu shots be available in Kerememeos flu shots be available in kerememeos kerememeos flu shots be available in kerememeos flu shots be available in kerememeos  Kerrekekemeos flu vaccine flu shots be available in  Kerememeos flu shots be available in keremeos flu shots be available in kerememeos flu shots be available in kere,"what dates will 2019 flu shots be available in Keremeos
"
314,do employees need hepatitis b vaccine,"Work Safe BC has recommended that all employees in our workplace should get a Hepatitis B Vaccine. Is there a program available to have someone come to our workplace to immunize?
"
315,strep throat before flu shot,"How long should you wait after having strep throat before getting the flu shot?
"
316,transfer immunization records to a Surrey public health unit,"My grandchildren recently moved to Surrey from Richmond. What do we have to do to get their immunization records transferred to a Surrey Public Health Unit? Thank you
"
317,does mp protect viral or bacterial meningitis?,"Does MC protect viral or bacterial meningitis.
"
318,does TB vaccine affect vaccines,"Do live virus vaccines affect IGRA tests for TB
"
319,does flu shot require flu shot,"I work in an independent living site, am I required to have a flu shot?
"
320,i am an alberta resident and don't remember bc health care number. who to contact,"hi, I am need to get a copy of my immunization records from my early childhood. I am now an Alberta resident so I do not remember/have BC health care number. Who should I contact?
"
321,will varicella be sent the same day as vaccination,"Good day! My child is having an appointment for DPTP vaccine and varicella on the same day. Does this will be on the same injection site? Thank you.
"
322,what vaccinations in canada,"Whether an infant born in Ontario could receive the routine vaccination in BC during a visit?
"
323,when was twinrix vaccine first given,"We had Twinrix vaccine in Spring of 2003. At the time it was one dose, I believe, and thought to be effective for life. Correct or new information refutes this? Off to s Africa
"
324,shingles vaccine is a celsiac disease vaccine,"I am a 68 year old healthy female who has celiac disease as well as being lactose intolerant. Should I be concerned about receiving the shingles vaccine?
"
325,how to check immunisations vch,"My son got his immunisations through VCH and we have moved overseas. I need confirmation that his imms are up to date. Can you please email me a copy 
"
326,if i wait to get my son shots when will i be late for shot shot,"i was late on getting my sons 12 month shots he got them at 15 months. he is now 18 months and i was wondering if he can get his shots now or do we have to wait a couple months
"
327,can i renew immunization card for daughter,"I lost my immunization card for my daughter can I get a new one?
"
328,when can u take im years vaccines in march,"Hello !my daughter will be 1year old on this November but she is going outside to Canada and will come back in march .so is it ok if she take ist years vaccines in march ?
"
329,vaccines you have received,"How do I confirm what vaccines I have received? I grew up in BC, born in 1968, lived out of Canada for >15 years.
"
330,do i need hepatitis a vax before traveling,"My baby will travel to Japan and Taiwan for 1 month when he is 7 month + 20 days old. Does he need to get MMR, Japanese encephalitis or Hepatitis A vax before the traveling? Can he do at family doctor? Will that be no charge? Thank you.
"
331,is meningitis contagious after immunisation,"My daughter was immunized in gr 9 for meningitis & is applying to University. One of the requirements is that she be vaccinated for bacterial meningitis Does this need to be redone
"
332,pregnant when can i receive dtap booster,"I was told to get a dtap booster while 28-32 weeks pregnant, the information given to me at MFM said to contact BC public health. Where can go to receive this booster?
"
333,can a grandparent take a baby to an HU for vaccinations,"Can a grandparent take a child to a HU for vaccinations with the parents written approval? My grandson is overdue for his MMR and lives in Vancouver BC! I am a GP too. Thanks
"
334,do first responders (fire fighter) require a flu shot to administer first aid on scene?,"Do first responders (fire fighter) require a flu shot to administer first aid on scene?
"
335,do vaccines have subsidies,"I am wondering if there are any public initiatives to raise awareness regarding adult and senior vaccinations such as shingles, pertussis and IPD? Are there public subsidies? Are there any programs for immigrants who have barriers towards accessing these vaccine programs?
"
336,immmunisation records for registration of elementary schools for registration registration in new elementary schools,"Hello. I'm planning to move to another province. And I need my kids' immunization records for registration of the new elementary schools. How can I get them? In advance thanks
"
337,how can you find a record of a baby immunization,"What if I lost my baby's BC Health Passport? Can I still get a record from his doctor who gave him the immunization?
"
338,b immune,"Can you tell me who funds Immunize BC? Are you government or private? Thankyou.
"
339,when is champlain ncc,"Dates on the website are INCORRECT Evergreen Community: THURSDAY? Nov 22, 2016 Champlain Community Centre THURSDAY Nov 22nd. Either they are Tuesday or Nov 24th if it is Thursday. PLEASE CONFIRM. Thanks.
"
340,can hep a be vaccinated for free,"I volunteer with an organization doing hands-on work with inner city drug addicts and the homeless. We have close contact w/people (blood and fluid). We also work side by side with recovering addicts preparing and serving meals to 300 people per day. Can I be vaccinated for Hep A for free?
"
341,pharmacy pharmacy hours,"The health units are only open while I'm at work. How can I take my 4 year old for a flu shot after 5:30pm during the week or anytime on weekends? It says pharmacies only do 5yr+.  
"
342,what type of vaccine is used for mmr,"Hello, I would like to know which vaccine is used for MMR in BC's Health units. Is it the M-M-M-II or the Priorix and do parents have a choice over these two. Thank you.
"
343,do elders in long term care facilities get flu shots,"My mother is a resident in a long-term care facility. Approximately what percentage of residents in long-term care facilities in BC are getting flu shots?
"
344,what are vaccines used,"Could you please tell me what brands are used for each vaccine on the schedule? Are these the same brands used at all public health units? Are there options for each vaccine?
"
345,vaccine good for life vaccine vaccine,"is 2 doses of measles vaccine good for life?
"
346,what vaccinations should immunized children with fibrosis lungs need cabo,"Hello my wife and I are travelling to Cabo San Lucas Mexico for 10 Days. and would like to know what you recommend for immunizations. I have a cystic Fibrosis lung disease.
"
347,do private schools require vaccinated children,"Though vaccinations are not mandatory for school-aged children, can private schools make it a requirement? Are there any such in BC? I want my kids in a vaccinated environment, but it seems it's the anti-vax crowd that gets its way every time.
"
348,do nursing students count nursing,"I am a nursing student working in the hospital planning to get my Hepatitis A immunization. I read online that high risk groups are to get this for free. Do nursing students count?
"
349,twinrix twinrix covered by medical for hemophiliacs twinrix covered twinrix covered for hemophiliacs twinrix twinrix covered by twinrix covered for medical for twinrix covered by medical for hemophiliacs covered by twinrix twinrix covered by twinrix? covered medical for twinrix covered for hemophiliacs twinrix covered for hemophiliacs twinrix twinrix covered by medical for twinrix,"is twinrix covered by medical for hemophiliacs?
"
350,when was hepatitis a last vaccinated,"Hi there. I'd like to find out when I was last vaccinated for Hepatitis A. Actually, I would like to see my vaccination records.
"
351,where should i get a tetanus shot,"I h ave been bitten by a dog - where should I get a tetanus shot? I am in Vancouver
"
352,where can i bring baby to be vaccinated,"Hi my child was born outside of canada in october of 2016 he is now home with me. Where should I bring him to be vaccinated ???
"
353,can pharmacist pay vaccination for vaccine,"My pharmacist is uncertain how much I should pay for flu vaccine for myself and school-age children as we don't seem to be covered. Please advise.
"
354,what problem would measles be to a teen boy?,"I am care taker for my 14 year old grandson. I don't think he had any shots, choice of his parents. What problem would measles be to a teen boy?
"
355,when is it dangerous to get tetanus booster shot before 10 years have passed since last shot,"Is it harmful to get a tetanus booster shot before 10 years have passed since your last shot?
"
356,what province pays for flu shots?,"Hi, Ontario residents do not pay for flu shots. It seems that the Province wants people to get flu shots. Why doesnt B.C. pay for flu shots for all, not just for certain groups?
"
357,can a child get immunized if they've cold,Can a child get immunized if they have a cold? .
358,appointment booking booking system open appointment appointment booking booking system open? appointment booking booking system open open,"When will appointment booking system will open?
"
359,when is the second dose after immunization,"My son born in 2004 had MMR immunizations on May 2005 and another dose November 2005 as per the recommendations on his Child Health Passport. (2nd dose 12 months after 3rd immunization). His 3rd immunization was November, 2004. Does he need another dose? Thanks
"
360,what is required to prove low income as well as income tax records?,"TB vaccinations for 2 adults and 2 children.Is there a price or low income families? If so what is required to prove low income as well as income tax records? We are from Pakistan and have visitors from Pakistan from time to time.Renowned Stephen Lewis says the rising TB death rate is preventable.
"
361,immunizations cost,"Do you need to book an appointment? Is there a cost to get the immunizations
"
362,do secondary school students get vaccines,"Hello, I went to a BC secondary school from 1999 - 2004. Do you know if students from that cohort are up to date with measles vaccines? Thanks,
"
363,in vaccination in in phil travel to Philippines,"Can my 8 months old son get MMR vaccination in public health units before we travel to Philippines?
"
364,are cells blood products used as shingles vaccine,"Are there any blood fractions, cells, or anything to do with blood products used in the shingles vaccine.
"
365,how soon can you receive twinrix vaccine,"Twinrix vaccine: If I am interrupted for my 6 month booster (3rd shot) is it ok to receive it 1-2 months after the 6 month mark?
"
366,when should kids be on booster vaccine,"Hello, my child received the measles vaccination at ten months. She is now 2 years and 1 month. Do you think it's too early to give her a booster?
"
367,does it hurt with pimples,"what is a good medicine for a blood purification, i am 1985 born , female, and i am getting pimples and acnes these days.
"
368,vaccine manufacturer vaccine manufacturer,"If my child gets one of the injuries listed on the vaccine insert, like seizures, can I sue the vaccine manufacturer?
"
369,should we still get vaccinated,"Two of my child's cousins have mouth, hand, foot disease. So far there is no fever, or rash just cold symptoms for her. Should we still get vaccinated? Its her one year vaccines.
"
370,how do you get your influenza shot uk,"I'm 56 with type two diabieties .and live in chase bc. They say they have some influenza shots but were for other people. How do I get my influenza shot.cant drive
"
371,blood or blood fractions in M vaccine vaccine vaccine vaccine vaccines,"Are there blood or blood fractions in MMR vaccines?
"
372,where in canada does vaccines are used,"I have questions about the vaccines used in Canada. I have a family that doesn't want to use US vaccines, due to religious concerns/porcine gelatin.
"
373,would the measles vaccine be routinely offered,"I am 67 years old & grew up in NSW. I remember receiving both oral & injected vaccines as a primary & secondary school age child. Would measles vaccines been routinely offered then?
"
374,does public health maintain record of shots,"Hi, I think I may have had a Tetanus booster within the last 10 years but can't remember when. Does Public Health keep a record of everyones shots? I will need one soon>dog bite!
"
375,what vaccines should i have as a preschool educator,"I am an Early Childhood Educator. I'm wondering what vaccinations I should currently have, according to the Province's immunization and tuberculosis control programs.
"
376,pneumococcal vaccine in gap of one month worth,"I am 58 years of age from India. I have got both pneumococcal Vaccine in a gap of one month Is it worth? Or I committed mistake and any thing I have to take care or any harm ??
"
377,when can hep a/b vaccine start,"How do I go about getting a Hep A/B vaccine?
"
378,if granddaughter is immunized,"I live in coquitlam,where can I get immunization for my grand daughter ?she is 4 monthes now!
"
379,what vaccines can be used for immunization,"what is the difference between an immunization and a vaccination
"
380,where is 630630,"What clinic in lower mainland is open till 630
"
381,contagious after initial first appearance of symptoms,".how long is a flu victim contagious after first appearance of symptoms?
"
382,can a person with chicken pox vaccinate himself,"I'm 61 years old and have never had the chicken pox, should I be vaccinated ? My son had it over his whole body when he was seven or eight, but I never even got it then.
"
383,when should immunized again,"If your childs B.C. health records don't correspond to your own, can a school age child be immunized again even if they may be already. What are the risks to immunizing again?
"
384,can you catch chicken pox from someone with shingles,"Can you catch chickenpox from someone suffering from shingles? My daughter had only 1 of the 2 vaccinations for chicken pox previously and is scared. Should she avoid the person who has shingles?
"
385,how can i do if i don't get immunizations after baby,"What should I do if I don't get an immunization package after the birth of my baby?
"
386,flu shot flu shot flu shot flu shot flu shot flu shot flu shot flu flu shot flu shot flu flu flu flu shot flu shot flu flu shot flu flu shot flu shot flu flu flu shot flu shot flu flu shot flu flu shot flu shot flu shot flu flu shot flu flu shot flu flu shot flu shot flu shot flu shot flu shot flu flu flu flu shot flu shot flu shot flu flu shot shot flu flu shot flu flu shot flu shots flu shot flu flu shot flu shot flu flu shot flu,"I have the flu. Should I still get the flu shot' and will it help with this flu?
"
387,is the hpv vaccine suspended in egg white,"Is the HPV vaccine suspended in egg white? My daughter is going to have her grade 6 immunization and has an egg allergy. Thanks.
"
388,why didn't they prescribe twinrix,"My doctor told me I probably didn't need the 3rd dose of Twinrix (1 & 2 in 2010) because he read a new directive that stated there was no proof of it's effectiveness. True? Thanks
"
389,can you vaccinate babies two days before appointment,"Hello, Is it possible to get the baby vaccinated two days before actual schedule if the appointment is available at health clinic?
"
390,immunization schedule for 1998 when having splenectomy,"What is the schedule of immunizations if you have had a splenectomy in 1998. Am 75 yrs old now.
"
391,"what does the Shingrix vaccine (a) begin to protect, and (b) become fully protective","At what point in the two step vaccination process does the Shingrix vaccine (a) begin to protect, and (b) become fully protective?
"
392,flu shot in kelowna,"Can I get a free flu shot in Kelowna if my Health Card is from Ontario
"
393,flu vaccine in Prince ge vaccine is not available Prince ge flu vaccination is not available in prince ge vaccine vaccine available prince ge flu vaccine vaccine vaccine is not available in Prince ge vaccination vaccine is not available in prince ge vaccine vaccine,"I live in Prince George. The flu vaccine is not available yet. Which cities currently have vaccine? When will vaccine be available in Prince George?
"
394,do i need to vaccinate my child before japan,"Hi, I am going to Japan with my child. She will be 10.5 months then. There are measles cases in Japan so I would like to have her vaccinated with the measles before the trip. Can I do that at the community vaccinations clinic? Thank you.
"
395,when is flu vaccine available now at the elkford medical clinic,"Is the current influenza vaccine available now at the Elkford Medical Clinic ? If not, when is it scheduled for this clinic ?
"
